Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,1179.36,270.66,817.09,873.27,909.11,979.45,1137.84,1325.93,1468.32,1542.12,1679.05
"12–15 years",2318,1829.51,334.85,1305.33,1413.91,1484.98,1587,1822.24,2048.43,2171.28,2264.21,2398.36
"16–19 years",2027,2095.41,320.77,1593.44,1703.84,1771.6,1886.47,2073.46,2300.92,2412.04,2491.11,2669.16
"20–29 years",1378,2177.48,307.49,1704.49,1792.5,1855.52,1961.07,2163.75,2367.99,2487.38,2571.77,2691.63
"30–39 years",1372,2227.18,319.44,1737.95,1832.22,1909.86,1999.38,2200.58,2431.5,2559.11,2644.44,2780.62
"40–49 years",1570,2223.11,328.86,1718.65,1830.39,1898.92,1999.02,2188.48,2420,2559.08,2650.01,2811.85
"50–59 years",1200,2106.7,329.99,1587.14,1699.09,1768.7,1880.75,2097.14,2312.35,2453.39,2545.8,2665.41
"60–69 years",1419,1984.01,343.74,1456.96,1562.55,1631.86,1744.02,1979.67,2197.72,2325.45,2415.8,2550.93
"70–79 years",750,1794.42,321.86,1299.67,1419.08,1469.93,1576.76,1775.59,1992.06,2114.01,2203.21,2373.3
"80 years and over",594,1596.55,318.42,1081.32,1194.09,1271.92,1375.97,1570.65,1811.14,1913.71,2007.26,2122.05
"20 years and over (age-adjusted)",8283,2108.32,,,,,,,,,,
