Age,3rd,5th,10th,25th,50th,75th,90th,95th,97th
Birth,45.1,45.7,47,48.9,50.8,52.1,54,54.6,55.9
"0–1 month",47.3,48.2,48.3,49.5,50.8,53.3,54,55.2,55.9
"1 month",50.8,50.8,51.4,53.3,54.3,55.9,57.8,58.4,59
"2 months",53.3,53.7,54.6,55.9,57.2,58.7,60.3,61,61.6
"3 months",55.9,56.7,57.5,59.1,61,62.5,63.8,64.8,65.5
"4 months",57.3,58,58.4,61,62.8,64.1,66,67.1,67.7
"5 months",61.2,61.2,61.7,63.2,64.6,65.8,67.1,68,68.2
"6 months",62.8,63.3,64,65,66.7,68.4,70,70.9,71.6
"7 months",61.4,62.2,63.4,66,67.4,68.7,70.9,72.1,72.8
"8 months",64,64.9,65.6,67.4,68.8,70.7,72,73.1,74.3
"9 months",66.5,66.8,67.8,69.5,71,72.7,74,75.5,77.4
"10 months",66,67.1,68.7,70.3,72.1,73.8,75.4,76.5,77.4
"11 months",65.8,68.6,68.8,71.8,73.5,74.9,76.7,78.3,78.8
"12–14 months",69.9,70,71.4,73.8,76.2,77.6,79.4,80.5,81
"15–17 months",72.4,73,75,76.9,78.9,80.5,82.1,83,84.1
"18–20 months",74.8,76.1,77.5,79.6,81.6,84.5,86.8,87.5,89.1
"21–23 months",79.1,79.2,80.7,82.4,84.5,87,88.8,89.9,90.4
"24–29 months",80.8,82.4,83.8,85.6,88,90.1,92.9,94.4,95.3
"30–35 months",85.9,86.5,87.9,90.1,92.3,95,97.2,98.5,99.7
