Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1421,0.727,0.077,0.604,0.626,0.644,0.673,0.726,0.778,0.804,0.825,0.864
"12–15 years",2264,0.917,0.12,0.733,0.765,0.789,0.828,0.906,1,1.046,1.072,1.124
"16–19 years",2309,1.082,0.108,0.911,0.949,0.97,1.008,1.077,1.15,1.192,1.223,1.261
"20–29 years",1530,1.108,0.107,0.941,0.98,1.001,1.038,1.098,1.171,1.221,1.248,1.296
"30–39 years",1450,1.1,0.107,0.948,0.97,0.989,1.023,1.09,1.164,1.208,1.24,1.291
"40–49 years",1549,1.094,0.1,0.934,0.969,0.992,1.027,1.091,1.155,1.19,1.217,1.259
"50–59 years",1187,1.073,0.107,0.903,0.941,0.963,1.001,1.07,1.138,1.183,1.207,1.253
"60–69 years",1350,1.063,0.109,0.888,0.929,0.957,0.991,1.061,1.131,1.176,1.206,1.253
"70–79 years",825,1.027,0.108,0.858,0.893,0.918,0.946,1.027,1.097,1.143,1.172,1.202
"80 years and over",501,0.995,0.112,0.823,0.861,0.884,0.916,0.991,1.063,1.11,1.14,1.178
"20 years and over (age-adjusted)",8392,1.081,,,,,,,,,,
