Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",86.84,93.81,99.54,107.15,123.4,141.37,149.98,157.29,171.04
"12–15 years",131.39,140.88,148.92,159.63,178.1,199.45,210.93,218.62,228.02
"16–19 years",150.5,158.82,165.97,175.28,194.61,215.08,227,234.34,246.71
"20–29 years",146.1,155.14,160.3,170.21,191.34,212.24,224.1,231.2,241.86
"30–39 years",141.43,150.45,155.9,164.08,182.49,203.59,215.79,224.52,238.49
"40–49 years",137.63,144.22,150.07,158.88,178.32,200.47,212.84,222.29,238.42
"50–59 years",127.95,134.7,141.17,149.02,166.51,186.37,198.88,208.01,222.02
"60–69 years",122.47,130.86,136.31,145.56,162.53,180.72,190.27,197.61,213.38
"70–79 years",117.9,124.48,128.7,136.83,154.07,171.85,183.77,191.53,201.28
"80 years and over",107.26,116.86,123.09,130.57,147.56,164.47,173.39,180.83,190.2
