| Age   | 5th | 10th | 15th | 25th | 50th | 75th | 85th | 90th | 95th |
| ----- | --- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 2     | 3.3 | 3.7  | 4    | 4.2  | 5    | 6.1  | 6.7  | 7.3  | 8.2  |
| 3     | \*  | 3.7  | 3.9  | 4.2  | 4.9  | 5.7  | 6.2  | 6.6  | \*   |
| 4     | 3.4 | 3.7  | 3.9  | 4.2  | 4.8  | 5.6  | 6.5  | 7.4  | 9.2  |
| 5     | 3.4 | 3.7  | 3.8  | 4.1  | 4.8  | 5.8  | 6.2  | 6.8  | 9.8  |
| 6     | \*  | 3.5  | 3.7  | 4.2  | 5.2  | 6.4  | 8.5  | 11.5 | \*   |
| 7     | \*  | 3.7  | 3.9  | 4.3  | 5    | 7.2  | 10   | 17   | \*   |
| 8     | \*  | 4    | 4.2  | 4.6  | 5.8  | 8.5  | 14.3 | 21.3 | \*   |
| 9     | \*  | 4.3  | 4.5  | 4.8  | 6    | 13.3 | 22   | 26.9 | \*   |
| 10    | \*  | 4.1  | 4.3  | 4.9  | 8.2  | 17.2 | 24.4 | 26.1 | \*   |
| 11    | \*  | 4.4  | 5.1  | 5.7  | 8    | 20.2 | 26.5 | 31.1 | \*   |
| 12    | \*  | \*   | 5.6  | 6.2  | 12.2 | 23.6 | 29   | \*   | \*   |
| 13    | \*  | \*   | 5.7  | 6.2  | 8    | 21.4 | 26   | \*   | \*   |
| 14    | \*  | \*   | 6.1  | 6.5  | 8.7  | 15.3 | 18.4 | \*   | \*   |
| 15    | \*  | \*   | 5.5  | 6.3  | 10   | 21.5 | 28.6 | \*   | \*   |
| 16    | \*  | \*   | 6.1  | 6.8  | 8.6  | 16.5 | 23.5 | \*   | \*   |
| 17    | \*  | \*   | 6.7  | 7.4  | 10.5 | 20.2 | 26.8 | \*   | \*   |
| 18    | \*  | \*   | 5.5  | 6.3  | 10.3 | 17   | 21.4 | \*   | \*   |
| 19    | \*  | \*   | \*   | 7.7  | 12   | 21.2 | \*   | \*   | \*   |
| 20+   | 7   | 9    | 10.9 | 14.2 | 22   | 29.7 | 33.5 | 36   | 38.7 |
| 20–29 | 5.9 | 7.2  | 8.2  | 11.1 | 18.7 | 29   | 33.5 | 35.5 | 38.9 |
| 30–39 | 7.1 | 9.5  | 11.7 | 15.9 | 23.6 | 31.3 | 34.6 | 36.7 | 38.7 |
| 40–49 | 8.4 | 11.6 | 13.9 | 16.7 | 24.3 | 31.2 | 35.8 | 37.7 | 40.2 |
| 50–59 | 9   | 10.9 | 12.9 | 17   | 23.7 | 30.3 | 33.1 | 36.1 | 38.2 |
| 60–69 | 9.2 | 10.8 | 12.9 | 15.3 | 21.6 | 27.4 | 31.4 | 33.4 | 36.2 |
| 70–79 | 6.2 | 8.7  | 9.8  | 12.3 | 17.7 | 24.1 | 27.4 | 29.9 | 32.7 |
| 80+   | 5.9 | 7.3  | 8.4  | 10   | 14.7 | 19.5 | 22.3 | 23.9 | 27.9 |
